video_name,manual_description,gpt_response,gpt_final_response
Abuse/Abuse001_x264.mp4,"Person1 picks up papers that are on a table. Person2 comes up behind Person1, pulls Person2 backwards, then runs. Person3 is dressed in black and uses their hand to hit Person1 on the back of the head, then runs. Person1 falls to the ground, then slowly sits up.","Possible explanations:
1. Person2 and Person3 are collaborating to steal Person1's papers [Stealing]
2. Person2 and Person3 are assaulting Person1 without provocation [Assault]
3. Person1 committed a crime, and Person2 and Person3 are vigilantes attempting to punish Person1 [Arrest]

The most likely category is ""Assault"".",Assault
Abuse/Abuse002_x264.mp4,Traffic accelerates from a stopped position. A person is lying on the ground and begins to get up. A car drives on top of the person. Two people get out of the van in front of the car and run up to push the car. The car reverses. Another two people get out of the van and walk towards the car. Another two people get out of the car.,"Possible explanations:
1. Road Accident: The car might have accidentally driven over the person.
2. Assault: The driver of the car might have intentionally driven over the person.
3. Normal: The person on the ground might be part of a stunt or a performance, and the people coming out of the car and van are part of the act.

Most likely category: ""Road Accident""",RoadAccident
Abuse/Abuse003_x264.mp4,"Person1 pushes Person2 who is in a wheelchair through a hall. Person1 turns around and pushes Person2 back through the hall. The wheelchair heads towards the wall. The wheelchair heads towards a wall again, and Person1 lets go and raises their hands in the air. Person1 turns around and pushes Person1 back through the hall. The wheelchair hits the wall again. The wheelchair hits the wall again. The wheelchair hits the wall again. Person1 lets go of the wheelchair and raises their hands. Person1 turns around and pushes Person2 back through the hall. Person1 stops and lets go. The wheelchair hits the wall again. The wheelchair hits the wall again.","1. Abuse: Person1 is intentionally causing harm to Person2 by pushing them into the wall.
2. Assault: Person1 is attacking Person2 by repeatedly pushing the wheelchair into the wall.
3. Normal: Person1 is playing or fooling around with Person2, and they both find it amusing.

Most likely category: ""Abuse""",Abuse
Abuse/Abuse004_x264.mp4,Person1 is dressed in a blue jumper and sits on a chair in a cell. Two people in uniform are standing at the door to the cell. Person1 stands up and faces the two people at the door. Something extends rapidly from a person at the door and touches Person1. Person1 turns around. Person1 claps their hands. The cell door opens and the two people in uniform come in. One of the people in uniform hits Person1 with a black baton multiple times. Person2 sits in the chair. Person2 gets up. One of the people in uniform continues hitting Person1 with their baton repetitively. The other person in uniform stands back and watches the person in uniform hitting Person1 with their baton. Person1 is lying on the ground. A person in uniform stands above Person1. One of the people in uniform lifts a mobile phone to their ear.,"Possible explanations:
1. Person1 is being abused by the people in uniform [Abuse]
2. Person1 is being arrested for a crime and resists, prompting use of force [Arrest]
3. Person1 is involved in a fight with the people in uniform [Fighting]
4. Person1 has stolen something and is being punished by the people in uniform [Stealing]

Most likely category: ""Arrest""",Arrest
Abuse/Abuse005_x264.mp4,Three people in uniform are in what appears to be a prison. A person enters a cell. One of the people in uniform sits down on a chair. The scene changes. Three people in uniform are standing near a person or dummy bent over a desk with something covering their head. One of the people in uniform is standing on the table and steps on the neck of the person or dummy.,"Possible explanations:
1. A prisoner is being abused by the guards [Abuse]
2. A prisoner is being arrested after an altercation [Arrest]
3. A simulation drill of prisoner control and restraint [Normal]

Most likely category: ""Abuse""",Abuse
Abuse/Abuse006_x264.mp4,An outdoor scene at night. There is a building with alternating black and white tiles. A white car with headlights on parks. There are flashing blue and red lights. Person1 is standing up. People come out of the car and approach Person1. Person1 kneels down. Person1 lies down. One of the people who came out of the car kicks Person1. One of the people who came out of the car pulls Person1. The people who came out of the car punch Person1. A yellow car with flashing blue and red lights parks. A person gets out and joins the group. Another yellow car pulls up. The people pull Person1 up and start walking towards the cars.,"Possible explanations:
1. Person1 is being arrested by undercover police officers. [Arrest]
2. Person1 is being assaulted by a group of people. [Assault]
3. Person1 is involved in a planned or staged altercation. [Normal]
4. Person1 is being abducted or robbed by a group of people. [Robbery]

Most likely category: ""Arrest""",Arrest
Abuse/Abuse007_x264.mp4,"Person1 is wearing black and a badge. Person2 is wearing black and shorts. Person1 punches Person2, then stops. Person1 follows Person2. Person2 follows Person1.","Possible explanations:
1. Person1 is a police officer trying to arrest Person2 for a crime [Arrest]
2. Person1 and Person2 are having a dispute and are involved in a physical altercation [Fighting]
3. Person1 has authority over Person2 and is abusing their power [Abuse]

Most likely category: ""Fighting""",Fighting
Abuse/Abuse008_x264.mp4,"The scene is a cell with brick walls and a bed. Person1 is wearing a police uniform. Person2 is sitting on the bed and wearing a blue top. Person1 takes off Person2's shoes. Person1 helps Person2 stand up. Person1 makes Person2 stand against the cell wall with their hands raised. Person1 checks the Person2's pockets and socks. Person3 is wearing a police uniform and walks into the cell, and leaves a grey bag or blanket. Person2 removes a red item from underneath their jumper and hands it to Person1. Person2 leaves the cell. Person2 is pushed into the cell by a person wearing a police uniform. Person2 falls to the ground. Two people in police uniforms stand near Person2. A third person in a police uniform comes in with a with sheet of cloth or paper and places it near Person2 then leaves. The two people in uniforms sit next to Person1. One of the people in uniforms leave. A person in uniform enters. A person in uniform points.","Possible explanations:
1. Arrest: Person2 is being searched and arrested by police officers.
2. Assault: Person1 is harassing or assaulting Person2 in the cell.
3. Normal: Person2 is being assisted and helped by police officers.

The most likely category is ""Arrest"".",Arrest
Abuse/Abuse009_x264.mp4,Person1 is dressed in a black top and blue shorts. Person1 drops something then picks it up. Person1 walks up to a group of people. Person1 and one of the people in the group start fighting.,"Possible explanations:
1. Person1 accidentally bumped into the group, causing an argument and fight [Fighting]
2. Person1 intentionally confronted the group and initiated a fight [Assault]
3. Person1 tried to steal from someone in the group and was caught, leading to a fight [Stealing]

The most likely category is ""Fighting"".",Fighting
Abuse/Abuse010_x264.mp4,Two cars are heading in different directions. A black animal runs in front of one of the cars. A second black animal runs in front of the car. The car drives over the animal. The animal rolls around. The first black animal comes up to the second animal then runs away. A person runs up to the animal and picks it up. The person carries the animal off.,"Possible explanations:
1. The driver purposely hits the animal (Abuse)
2. The driver accidentally hits the animal (Road Accident)
3. The animals are chasing each other in the road (Normal)
4. The person who picks up the animal is stealing it (Stealing)

Most likely category: ""Road Accident""",RoadAccident
